name	type	description	samplingrate	lowpass	highpass	notch	softwarefilters	status
MEG2442	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2443	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2441	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2512	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2513	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2511	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2522	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2523	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2521	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2533	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2532	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2531	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2543	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2542	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2541	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2612	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2613	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2611	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2623	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2622	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2621	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2633	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2632	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2631	MEG	magnetometer	1100	350	0	0	tSSS	good
MEG2642	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2643	MEG	planar gradiometer	1100	350	0	0	tSSS	good
MEG2641	MEG	magnetometer	1100	350	0	0	tSSS	good
EEG001	EEG	eeg channel	1100	350	0	0	none	good
EEG002	EEG	eeg channel	1100	350	0	0	none	bad
EEG003	EEG	eeg channel	1100	350	0	0	none	good
EEG004	EEG	eeg channel	1100	350	0	0	none	bad
EEG005	EEG	eeg channel	1100	350	0	0	none	good
EEG006	EEG	eeg channel	1100	350	0	0	none	good
EEG007	EEG	eeg channel	1100	350	0	0	none	good
EEG008	EEG	eeg channel	1100	350	0	0	none	bad
